dataset_id,slug,titulo,categoria,organizacion,recurso_nombre,formato,url_origen,ruta_local,bytes,http_status,sha256
28,subsecretaria-de-innovacion-y-modernizacion-municipal-antecedentes-profesionales,Subsecretaría de Innovación y Modernización Municipal. Antecedentes Profesionales,Gobierno Municipal,"Secretaría de Innovación, Gobierno Abierto y Gestión del Territorio",modernizacion.pdf,,https://datos.lujandecuyo.gob.ar/recursos/dataset/28/modernizacion.pdf,datasets/28-subsecretaria-de-innovacion-y-modernizacion-municipal-antecedentes-profesionales/archivos/modernizacion.pdf,842641,200,1432d599c68c2f93c489228a6aa1cacdcf14c05eddd7a3676c6471205d4e76df
29,manual-de-adaptacion-local-de-los-ods-2a-edicion,Manual de Adaptación Local de los ODS – 2a Edición,Medio Ambiente y Desarrollo Sustentable,Secretaría de Infraestructura y Desarrollo Sostenible,manual_municipios_version_2019.pdf,,https://datos.lujandecuyo.gob.ar/recursos/dataset/29/manual_municipios_version_2019.pdf,datasets/29-manual-de-adaptacion-local-de-los-ods-2a-edicion/archivos/manual_municipios_version_2019.pdf,1999916,200,4b501c77975d73e3e9295967d954435358ea3715175cb8d0e59908244e52af51
31,gestion-integral-de-residuos-solidos-urbanos,Gestión Integral de Residuos Sólidos Urbanos,Urbanismo y Territorio,Secretaría de Infraestructura y Desarrollo Sostenible,ordenanza-n-13884-2020-girsu-actual-1.pdf,,https://datos.lujandecuyo.gob.ar/recursos/dataset/31/ordenanza-n-13884-2020-girsu-actual-1.pdf,datasets/31-gestion-integral-de-residuos-solidos-urbanos/archivos/ordenanza-n-13884-2020-girsu-actual-1.pdf,386677,200,ab9949e042917811c4a8200489bb81c7ca0066a281199a44e179afcdedb74147
32,elecciones-departamental,Elecciones Departamental,Gobierno Municipal,Jefe de Gabinete,zona_circ_0059.xls,,https://datos.lujandecuyo.gob.ar/recursos/dataset/32/zona_circ_0059.xls,datasets/32-elecciones-departamental/archivos/zona_circ_0059.xls,7680,200,4dd526468248c773a6414111d37eff3c1953ee064ba2a7f28846bbfc9e8bbb3b
32,elecciones-departamental,Elecciones Departamental,Gobierno Municipal,Jefe de Gabinete,zona_secc_00007.xls,,https://datos.lujandecuyo.gob.ar/recursos/dataset/32/zona_secc_00007.xls,datasets/32-elecciones-departamental/archivos/zona_secc_00007.xls,7680,200,6905d050c1984670c4970e7adf75304ec85cc48b19ff02518d0c1669c610bfcd
32,elecciones-departamental,Elecciones Departamental,Gobierno Municipal,Jefe de Gabinete,zona_circ_0057.xls,,https://datos.lujandecuyo.gob.ar/recursos/dataset/32/zona_circ_0057.xls,datasets/32-elecciones-departamental/archivos/zona_circ_0057.xls,8192,200,c51850bae18db70459a48088e034a77569f47a33d45ae213b13031af4cdfcf73
32,elecciones-departamental,Elecciones Departamental,Gobierno Municipal,Jefe de Gabinete,zona_circ_0058.xls,,https://datos.lujandecuyo.gob.ar/recursos/dataset/32/zona_circ_0058.xls,datasets/32-elecciones-departamental/archivos/zona_circ_0058.xls,7680,200,892d13976f98896a79f1ed6006cdcf6b6dd6c9e7c7ef464ff02978dc71e4c861
32,elecciones-departamental,Elecciones Departamental,Gobierno Municipal,Jefe de Gabinete,zona_circ_0060.xls,,https://datos.lujandecuyo.gob.ar/recursos/dataset/32/zona_circ_0060.xls,datasets/32-elecciones-departamental/archivos/zona_circ_0060.xls,7680,200,ece09c4a5e1c0f8ea08765c74f3def636b2fddbce35e126218dbceb0638890c2
32,elecciones-departamental,Elecciones Departamental,Gobierno Municipal,Jefe de Gabinete,zona_circ_0060a.xls,,https://datos.lujandecuyo.gob.ar/recursos/dataset/32/zona_circ_0060a.xls,datasets/32-elecciones-departamental/archivos/zona_circ_0060a.xls,7680,200,02249dd111d2ef3630e15f9745f3d52cadc15d39448bfe6831dbc6b139a6ef3a
32,elecciones-departamental,Elecciones Departamental,Gobierno Municipal,Jefe de Gabinete,zona_circ_0061.xls,,https://datos.lujandecuyo.gob.ar/recursos/dataset/32/zona_circ_0061.xls,datasets/32-elecciones-departamental/archivos/zona_circ_0061.xls,7680,200,5d1ad09b7889d4cc1add40a51bbfb31e2e93fcd72016a5e11a4bd37b4359728f
32,elecciones-departamental,Elecciones Departamental,Gobierno Municipal,Jefe de Gabinete,zona_circ_0062.xls,,https://datos.lujandecuyo.gob.ar/recursos/dataset/32/zona_circ_0062.xls,datasets/32-elecciones-departamental/archivos/zona_circ_0062.xls,7680,200,d84adda3a5801e18dbe22d36095229dd39424f0c0c7bcfed3a0042aacb4e3a02
32,elecciones-departamental,Elecciones Departamental,Gobierno Municipal,Jefe de Gabinete,zona_circ_0062a.xls,,https://datos.lujandecuyo.gob.ar/recursos/dataset/32/zona_circ_0062a.xls,datasets/32-elecciones-departamental/archivos/zona_circ_0062a.xls,7680,200,d0af1ee21e99ef08138b54a2037db3f8ab61ccb4a6dcae0c17339e5a5a81d1de
32,elecciones-departamental,Elecciones Departamental,Gobierno Municipal,Jefe de Gabinete,zona_circ_0063.xls,,https://datos.lujandecuyo.gob.ar/recursos/dataset/32/zona_circ_0063.xls,datasets/32-elecciones-departamental/archivos/zona_circ_0063.xls,7680,200,079b4790cfbd338e225f3492f13beba4869700a0d8e1350e18912877f46b42ed
32,elecciones-departamental,Elecciones Departamental,Gobierno Municipal,Jefe de Gabinete,zona_circ_0064.xls,,https://datos.lujandecuyo.gob.ar/recursos/dataset/32/zona_circ_0064.xls,datasets/32-elecciones-departamental/archivos/zona_circ_0064.xls,7680,200,c037ae20643c2f26875ba7e13f9f8fce87ea8bc69898a97348dabb33e5b44779
32,elecciones-departamental,Elecciones Departamental,Gobierno Municipal,Jefe de Gabinete,zona_circ_0065.xls,,https://datos.lujandecuyo.gob.ar/recursos/dataset/32/zona_circ_0065.xls,datasets/32-elecciones-departamental/archivos/zona_circ_0065.xls,7680,200,5c177060a968cedd4ba737a877fa69190e65e2f0b75ef20e0cd8b1e29f5fe0e0
32,elecciones-departamental,Elecciones Departamental,Gobierno Municipal,Jefe de Gabinete,zona_circ_0065a.xls,,https://datos.lujandecuyo.gob.ar/recursos/dataset/32/zona_circ_0065a.xls,datasets/32-elecciones-departamental/archivos/zona_circ_0065a.xls,7680,200,2daa0749fcbac06b93b6ef12e583f80e9a427a51c53899baa7d166a4d4b7bc2a
32,elecciones-departamental,Elecciones Departamental,Gobierno Municipal,Jefe de Gabinete,resultados_pasos_2023.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/32/resultados_pasos_2023.xlsx,datasets/32-elecciones-departamental/archivos/resultados_pasos_2023.xlsx,33361,200,221df266591a7d24e806c4c663063deb6e038ce13070b9318502829990ad9f0c
35,torres-solares,Torres Solares,Medio Ambiente y Desarrollo Sustentable,Secretaría de Infraestructura y Desarrollo Sostenible,,,https://datos.lujandecuyo.gob.ar/recursos/dataset/35/,,0,404,
36,delegaciones-municipales,Delegaciones Municipales,Gobierno Municipal,"Secretaría de Innovación, Gobierno Abierto y Gestión del Territorio",delegaciones.csv,,https://datos.lujandecuyo.gob.ar/recursos/dataset/36/delegaciones.csv,datasets/36-delegaciones-municipales/archivos/delegaciones.csv,1851,200,05c3ed9734c98c1e16d147be67274e29d554e2868dba8ec4d2ebc2e969337613
36,delegaciones-municipales,Delegaciones Municipales,Gobierno Municipal,"Secretaría de Innovación, Gobierno Abierto y Gestión del Territorio",1752668408750-delegaciones_2025.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/36/1752668408750-delegaciones_2025.xlsx,datasets/36-delegaciones-municipales/archivos/delegaciones_2025.xlsx,11339,200,75c7cc2c99d2b47a81d065c066cbf1b11c5c2fe912ab4d8be34e15fef9d66032
37,presupuestaria-2021,Presupuestaria 2021,Economía,Secretaría de Economía e Ingresos Públicos,ordenanza-n-13863-20-presupuesto-2021.pdf,,https://datos.lujandecuyo.gob.ar/recursos/dataset/37/ordenanza-n-13863-20-presupuesto-2021.pdf,datasets/37-presupuestaria-2021/archivos/ordenanza-n-13863-20-presupuesto-2021.pdf,1332493,200,117785f227a15423c5dcc2d3c2c79e99719b90cb20b526193e720c70f41c5b5d
38,tarifaria-2021,Tarifaria 2021,Economía,Secretaría de Economía e Ingresos Públicos,ordenanza-n-13864-2020-tarifaria-2021.pdf,,https://datos.lujandecuyo.gob.ar/recursos/dataset/38/ordenanza-n-13864-2020-tarifaria-2021.pdf,datasets/38-tarifaria-2021/archivos/ordenanza-n-13864-2020-tarifaria-2021.pdf,2614915,200,860d998b5892dbe9ff0a4f5ec5cdc6dd706d93d28db69bb295851f433212fda4
42,pauta-publicitaria,Pauta Publicitaria,Economía,Dirección de Comunicación Estratégica,pauta_publicitaria-2020-2021-2022-2023.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/42/pauta_publicitaria-2020-2021-2022-2023.xlsx,datasets/42-pauta-publicitaria/archivos/pauta_publicitaria-2020-2021-2022-2023.xlsx,21215,200,d6583e6099459044d4e335b13a45c6ed5be9afb65579613b1b1c99ad2c6b40b9
42,pauta-publicitaria,Pauta Publicitaria,Economía,Dirección de Comunicación Estratégica,pauta_publicitaria-2020-2021-2022.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/42/pauta_publicitaria-2020-2021-2022.xlsx,datasets/42-pauta-publicitaria/archivos/pauta_publicitaria-2020-2021-2022.xlsx,20326,200,9c72c9792e72fef327b82d52e363ba5be23ced882969d0840a8866c88b8cb9d6
42,pauta-publicitaria,Pauta Publicitaria,Economía,Dirección de Comunicación Estratégica,1752497835728-pauta_publicitaria-2020-2021-2022 - 2023 - 2024.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/42/1752497835728-pauta_publicitaria-2020-2021-2022 - 2023 - 2024.xlsx,datasets/42-pauta-publicitaria/archivos/pauta_publicitaria-2020-2021-2022 - 2023 - 2024.xlsx,20040,200,9f957f07c8cd8238c5390b66b5d2c30337c83eaf34d81c5f09ada3a0654e60d6
43,acuerdo-de-cooperacion,Acuerdo de cooperación,Género y Diversidad,Dirección de Género y Diversidad,acuerdo-coop_genero.pdf,,https://datos.lujandecuyo.gob.ar/recursos/dataset/43/acuerdo-coop_genero.pdf,datasets/43-acuerdo-de-cooperacion/archivos/acuerdo-coop_genero.pdf,1669786,200,78928c5853f9ab07636b28cbacdf79fe54563de36f5c3b25691204b985f0cdcd
44,calidad-del-aire,Calidad del Aire,Medio Ambiente y Desarrollo Sustentable,Secretaría de Infraestructura y Desarrollo Sostenible,metricas-snsores-ambientals.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/44/metricas-snsores-ambientals.xlsx,datasets/44-calidad-del-aire/archivos/metricas-snsores-ambientals.xlsx,245000,200,93a08edaf7ca9fc61a92168d884cc89f0846b97476c5137c3d559df9a4f751cd
